"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-09-30,23,"Kansas",33,136800,0.00440528634361234,0.0171003717472119,0.0523076923076923,,,"2018-09","2018-Q3",136800,0,"2018-09"
2018-09-30,55,"Utah",34,320900,0.00880226343917007,0.030838419530999,0.129531854980641,,,"2018-09","2018-Q3",320900,0,"2018-09"
2018-09-30,42,"Nevada",35,284300,0.00958806818181818,0.0311933260790715,0.138566279535443,,,"2006-06","2006-Q2",319100,-0.109056722030711,"2005-01"
2018-09-30,41,"New Mexico",36,190100,0.00582010582010582,0.0176659528907923,0.0862857142857143,,,"2018-09","2018-Q3",190100,0,"2018-09"
2018-09-30,61,"West Virginia",37,96800,0.00623700623700624,0.0168067226890756,0.0521739130434783,,,"2018-09","2018-Q3",96800,0,"2018-09"
2018-09-30,38,"Nebraska",38,161200,0.00498753117206983,0.020253164556962,0.0804289544235925,,,"2018-09","2018-Q3",161200,0,"2018-09"
2018-09-30,20,"Idaho",39,241300,0.00920117105813467,0.0338474721508141,0.128624883068288,,,"2018-09","2018-Q3",241300,0,"2018-09"
2018-09-30,18,"Hawaii",40,619000,0.00178022333710956,0.00896495517522412,0.0668734918993451,,,"2018-09","2018-Q3",619000,0,"2018-09"
2018-09-30,28,"Maine",41,228400,0.0110668437361664,0.0292924740874268,0.0855513307984791,,,"2018-09","2018-Q3",228400,0,"2018-09"
2018-09-30,39,"New Hampshire",42,270200,0.00558243394119836,0.020392749244713,0.0786427145708583,,,"2018-09","2018-Q3",270200,0,"2018-09"
2018-09-30,50,"Rhode Island",43,276000,0.00217864923747277,0.00509832483612527,0.0722610722610723,,,"2005-10","2005-Q4",297000,-0.0707070707070707,"2004-10"
2018-09-30,35,"Montana",44,227500,0.00176133861734919,0.0129118432769368,0.0848831664282308,,,"2018-09","2018-Q3",227500,0,"2018-09"
2018-09-30,13,"Delaware",45,232100,-0.00086095566078347,0.00215889464594128,0.0478555304740406,,,"2018-01","2018-Q1",238900,-0.0284637923817497,"2017-12"
2018-09-30,52,"South Dakota",46,183200,0.00109289617486339,0.0077007700770077,0.0534790109258194,,,"2018-09","2018-Q3",183200,0,"2018-09"
2018-09-30,3,"Alaska",47,310200,0.0012911555842479,0.00616282841388258,0.0130633572828217,,,"2018-09","2018-Q3",310200,0,"2018-09"
2018-09-30,37,"North Dakota",48,203300,0.002465483234714,0.002465483234714,-0.00147347740667976,,,"2017-10","2017-Q4",203800,-0.00245338567222767,"2017-07"
2018-09-30,58,"Vermont",49,200000,0.00908173562058527,0.0245901639344262,0.0384215991692627,,,"2018-09","2018-Q3",200000,0,"2018-09"
2018-09-30,12,"District of Columbia",50,572100,0.0028045574057844,0.0105988341282459,0.0451223967848009,,,"2018-09","2018-Q3",572100,0,"2018-09"
2018-09-30,62,"Wyoming",51,220800,-0.00135685210312076,0.00409276944065484,0.0504281636536632,,,"2018-08","2018-Q3",221100,-0.00135685210312076,"2018-07"
